,barcode,item_desc,brand_name,nature,packaging,is_primary_link,nodeid1,level1,nodeid2,level2,nodeid3,level3,nodeid4,level4
0,3307139936826,Romarin Bio JARDIN BIO,JARDIN BIO,romarin,le sachet de 40g,true,1882,Fruits et Légumes,1892,Légumes,28538,Herbes aromatiques et Epices,28541,Autres herbes aromatiques
1,3770001023823,Fruits secs bio mélange slim NATURE +,NATURE +,fruit sec,le paquet de 180g,true,1882,Fruits et Légumes,1908,Fruits et Légumes secs,1909,Pruneaux et Fruits séchés,,
2,3770001023793,Mulberries bio  NATURE +,NATURE +,mulberries,la boite de 180 g,true,1882,Fruits et Légumes,1908,Fruits et Légumes secs,28543,Fruits secs mélanges et graines,,
3,3560070538805,Tomates séchées Bio  CARREFOUR BIO,CARREFOUR BIO,tomate sécher bio,le sachet de 100 g,true,1882,Fruits et Légumes,1908,Fruits et Légumes secs,1912,Légumes secs,,
4,3700146205532,Noisettes décortiquées bio JUSTE BIO,JUSTE BIO,noisette,le sachet de 100g,true,1882,Fruits et Légumes,1908,Fruits et Légumes secs,28543,Fruits secs mélanges et graines,,
5,3329480018815,Graines de lin bio brun OFAL BIO,OFAL,graine lin,le paquet de 250g,true,1882,Fruits et Légumes,1908,Fruits et Légumes secs,28543,Fruits secs mélanges et graines,,
6,3700019521325,Champignons Champignons noirs séchés biologique Racines Bio,RACINES BIO,champignon,le sachet de 40g,true,2112,Epicerie salée,2178,Produits du Monde,2181,Asie,,
7,3700019521349,Champignons shiitaké entiers séchés biologique Racines Bio,RACINES BIO,champignon,le sachet de 30g,true,2112,Epicerie salée,2178,Produits du Monde,2181,Asie,,
8,3456300004410,Graines de Chia Bio JARDIN BIO,JARDIN BIO,graine chier,le sachet de 100g,true,1882,Fruits et Légumes,1908,Fruits et Légumes secs,28543,Fruits secs mélanges et graines,,
9,3456300004373,Graines de tournesol Bio JARDIN BIO,JARDIN BIO,graine tournesol,le sachet de 100g,true,1882,Fruits et Légumes,1908,Fruits et Légumes secs,28543,Fruits secs mélanges et graines,,
10,3760020501792,Graines de pavot Bio JARDIN BIO,JARDIN BIO,graine pavot,le sachet de 100g,true,1882,Fruits et Légumes,1908,Fruits et Légumes secs,28543,Fruits secs mélanges et graines,,
11,3256540003118,Brioche Bio PASQUIER,PASQUIER,brioche,le sachet de 450g,true,1952,Pains et Pâtisseries,1960,Viennoiseries et Brioches,1962,Brioches et Pains au lait,,
12,3760049798623,Pain panini Bio LA BOULANGERE,LA BOULANGERE,pain,le sachet de 300g,true,1952,Pains et Pâtisseries,1964,"Pains de mie, Précuits et Burger",1966,Pains burger et Pains précuits,,
13,3760049797756,Pains bio Burger tranchés LA BOULANGERE,LA BOULANGERE,pain,le sachet de 4 pains burger - 200 g,true,1952,Pains et Pâtisseries,1964,"Pains de mie, Précuits et Burger",1966,Pains burger et Pains précuits,,
14,3700019520892,Feuilles de basilic Feuilles de basilic thaï séchées biologiques Racines Bio  Racines Bio,RACINES BIO,feuille basilic,le sachet de 6g,true,2112,Epicerie salée,2178,Produits du Monde,2181,Asie,,
15,3760234880027,Fruits secs mélange Puissance 4 bio NATURE +,NATURE +,fruit sec,la boite de 200 g,true,2183,Epicerie sucrée,2263,Diététique et Bien-être,2270,Compléments alimentaires,,
16,3578030002617,Saumon fumé bio d'Irlande WILLIAM & JAMES,WILLIAM & JAMES,saumon fumer,la barquette de 4 tranches - 100g,true,1921,Viandes et Poissons,28419,Poissonnerie bio,,,,
17,3355200090243,Truite fumée Bio GUYADER,GUYADER,truite fumer,la barquette de 120g,true,1921,Viandes et Poissons,28419,Poissonnerie bio,,,,
18,3551610008681,Crevettes bio persillées L'ASSIETTE BLEUE,ASSIETTE BLEUE,crevette,le sachet de 100 g,true,1921,Viandes et Poissons,28419,Poissonnerie bio,,,,
19,3560070614653,Saumon fumé bio CARREFOUR BIO,CARREFOUR BIO,saumon fumer,la barquette de 8 - 240g,true,1921,Viandes et Poissons,28419,Poissonnerie bio,,,,
20,3560071006952,Saumon fumé bio CARREFOUR BIO,CARREFOUR BIO,saumon fumer,la barquette de 12 tranches - 360g,true,1921,Viandes et Poissons,28419,Poissonnerie bio,,,,
21,3422210443977,Aiguillettes de poulet fermier Bio NATURE DE FRANCE,NATURE DE FRANCE,aiguillette,la barquette de 260g,true,1921,Viandes et Poissons,28420,Volaille bio,,,,
22,3270190200000,Filet de poulet bio fermier blanc CARREFOUR BIO,CARREFOUR BIO,filet poulet,la barquette de 400g,true,1921,Viandes et Poissons,28420,Volaille bio,,,,
23,3560071247232,Hauts de cuisse poulet blanc fermier CARREFOUR BIO,CARREFOUR BIO,cuisse poulet,la barquette de 3 - 350g,true,1921,Viandes et Poissons,28420,Volaille bio,,,,
24,3560071255954,Ailes de poulet bio au paprika CARREFOUR BIO,CARREFOUR BIO,aile poulet,la barquette de 360g,true,1921,Viandes et Poissons,28420,Volaille bio,,,,
25,3422210435071,Filets de poulet fermier bio jaune NATURE DE FRANCE,NATURE DE FRANCE,filet poulet fermier,la barquette de 2 filets de 320g,true,1921,Viandes et Poissons,28420,Volaille bio,,,,
26,3560071247089,Aiguillettes de poulet bio jaune fermier CARREFOUR BIO,CARREFOUR BIO,filet poulet fermier,la barquette de 170g,true,1921,Viandes et Poissons,28420,Volaille bio,,,,
27,3560071255800,Saucisses de volaille bio aux herbes CARREFOUR BIO,CARREFOUR BIO,saucisse,la barquette de 6 - 300g,true,1921,Viandes et Poissons,28421,Boucherie bio,,,,
28,3228022200032,Camembert extra fondant PRESIDENT,PRESIDENT,camembert,la boite de 250g,true,1838,Bio et Ecologie,1844,Crèmerie,1847,Fromages,,
29,3271820004104,Lait Demi-Ecreme Bio Calcium AGRILAIT,AGRILAIT,lait,la bouteille de 1 l,true,28127,Frais,28128,Crèmerie,28144,Laits et Boissons végétales,28145,Lait demi-écrémé
30,3770000468205,Œufs Bio ,L'OEUF DES PYRENEES,œufs,la boite de 10,true,28127,Frais,28128,Crèmerie,28143,Œufs,28227,Oeufs bio
31,3287251005061,Œufs Bio de Plein Air MIELS VILLENEUVE,MIELS VILLENEUVE,œufs,la boite de 6,true,28127,Frais,28128,Crèmerie,28143,Œufs,28227,Oeufs bio
