,0
0,12
1,10
2,5
3,8
4,2
5,13
6,0
7,0
8,1
9,5
10,1
11,8
12,1
13,14
14,5
15,1
16,13
17,11
18,12
19,12
20,10
21,2
22,16
23,21
24,1
25,1
26,1
27,4
28,10
29,3
30,4
31,1
32,6
33,1
34,8
35,7
36,7
37,13
38,5
39,6
40,2
41,12
42,7
43,1
44,0
45,0
46,17
47,21
48,0
49,0
50,6
51,0
52,5
53,3
54,14
55,11
56,14
57,2
58,18
59,0
60,0
61,6
62,13
63,1
64,4
65,0
66,15
67,8
68,1
69,5
70,9
71,3
72,9
73,11
74,16
75,9
76,6
77,6
78,14
79,12
80,12
81,4
82,4
83,16
84,5
85,17
86,10
87,2
88,10
89,0
90,4
91,4
92,0
93,15
94,1
95,10
96,13
97,8
98,0
99,5
100,6
101,8
102,4
103,9
104,8
105,4
106,4
107,0
108,3
109,16
110,12
111,0
112,0
113,6
114,1
115,0
116,0
117,4
118,5
119,14
120,18
121,0
122,0
123,0
124,3
125,0
126,2
127,3
128,15
129,10
130,1
131,20
132,10
133,3
134,5
135,6
136,0
137,4
138,6
139,5
140,1
141,18
142,5
143,11
144,5
145,13
146,2
147,18
148,9
149,4
150,1
151,3
152,0
153,5
154,0
155,13
156,0
157,10
158,17
159,15
160,1
161,11
162,14
163,2
164,18
165,0
166,18
167,0
168,1
169,18
170,4
171,11
172,12
173,9
174,2
175,0
176,15
177,0
178,11
179,2
180,9
181,5
182,5
183,5
184,0
185,13
186,16
187,1
188,10
189,6
190,0
191,0
192,17
193,14
194,10
195,10
196,12
197,7
198,0
199,4
200,0
201,1
202,9
203,2
204,2
205,15
206,20
207,3
208,0
209,4
210,4
211,10
212,15
213,0
214,9
215,4
216,16
217,9
218,18
219,0
220,1
221,2
222,1
223,3
224,3
225,18
226,2
227,10
228,11
229,14
230,4
231,14
232,9
233,8
234,5
235,0
236,3
237,0
238,2
239,3
240,18
241,10
242,1
243,2
244,1
245,9
246,0
247,16
248,5
249,2
250,10
251,10
252,3
253,16
254,6
255,10
256,0
257,0
258,7
259,5
260,2
261,4
262,17
263,14
264,3
265,0
266,0
267,12
268,0
269,1
270,0
271,15
272,4
273,2
274,2
275,7
276,1
277,11
278,4
279,24
280,0
281,2
282,0
283,13
284,14
285,1
286,15
287,20
288,8
289,0
290,11
291,0
292,18
293,1
294,7
295,3
296,3
297,0
298,1
299,1
300,10
301,4
302,8
303,2
304,9
305,3
306,4
307,19
308,10
309,21
310,4
311,1
312,13
313,12
314,18
315,13
316,4
317,3
318,12
319,17
320,17
321,5
322,8
323,3
324,0
325,1
326,1
327,5
328,3
329,15
330,1
331,4
332,13
333,0
334,1
335,1
336,1
337,9
338,8
339,6
340,5
341,1
342,0
343,0
344,5
345,1
346,8
347,0
348,0
349,3
350,6
351,0
352,8
353,8
354,18
355,15
356,8
357,2
358,3
359,16
360,5
361,10
362,4
363,2
364,10
365,1
366,3
367,2
368,2
369,2
370,2
371,2
372,0
373,25
374,15
375,15
376,12
377,4
378,14
379,10
380,17
381,6
382,15
383,9
384,5
385,14
386,3
387,16
388,0
389,9
390,4
391,4
392,10
393,4
394,10
395,14
396,6
397,13
398,2
399,9
400,3
401,5
402,18
403,2
404,11
405,10
406,0
407,0
408,2
409,9
410,24
411,5
412,4
413,1
414,5
415,14
416,13
417,4
418,12
419,4
420,0
421,1
422,18
423,4
424,14
425,4
426,12
427,3
428,9
429,10
430,16
431,15
432,3
433,9
434,7
435,2
436,16
437,8
438,1
439,13
440,0
441,11
442,0
443,4
444,16
445,11
446,0
447,2
448,1
449,12
450,0
451,13
452,6
453,3
454,0
455,3
456,0
457,1
458,17
459,0
460,5
461,3
462,14
463,3
464,4
465,12
466,11
467,0
468,5
469,1
470,3
471,4
472,3
473,1
474,0
475,0
476,0
477,5
478,8
479,5
480,9
481,3
482,12
483,2
484,4
485,3
486,1
487,1
488,12
489,2
490,0
491,5
492,5
493,2
494,1
495,9
496,0
497,4
498,0
499,1
500,5
501,18
502,13
503,0
504,1
505,15
506,1
507,6
508,12
509,0
510,0
511,2
512,3
513,0
514,4
515,1
516,16
517,7
518,18
519,4
520,1
521,4
522,15
523,1
524,1
525,2
526,4
527,10
528,4
529,0
530,6
531,14
532,13
533,4
534,12
535,5
536,4
537,2
538,8
539,8
540,14
541,1
542,6
543,11
544,2
545,3
546,4
547,1
548,4
549,2
550,10
551,5
552,10
553,2
554,0
555,19
556,10
557,10
558,2
559,16
560,10
561,5
562,0
563,6
564,13
565,13
566,10
567,5
568,0
569,6
570,0
571,12
572,1
573,14
574,10
575,2
576,1
577,14
578,1
579,4
580,2
581,4
582,12
583,0
584,10
585,16
586,17
587,7
588,1
589,10
590,4
591,3
592,13
593,4
594,4
595,0
596,10
597,12
598,1
599,9
600,3
601,0
602,6
603,1
604,1
605,1
606,3
607,0
608,5
609,3
610,16
611,9
612,9
613,2
614,16
615,12
616,3
617,1
618,9
619,13
620,1
621,20
622,2
623,7
624,2
625,9
626,0
627,4
628,10
629,14
630,4
631,3
632,17
633,7
634,7
635,2
636,15
637,9
638,18
639,16
640,0
641,8
642,12
643,10
644,8
645,10
646,15
647,1
648,13
649,0
650,18
651,7
652,15
653,15
654,14
655,17
656,4
657,8
658,15
659,15
660,4
661,12
662,13
663,13
664,0
665,11
666,0
667,0
668,0
669,9
670,16
671,0
672,11
673,12
674,2
675,4
676,4
677,8
678,9
679,8
680,4
681,4
682,9
683,9
684,0
685,1
686,18
687,6
688,14
689,14
690,5
691,9
692,3
693,1
694,4
695,5
696,2
697,9
698,13
699,2
700,9
701,9
702,5
703,3
704,5
705,0
706,3
707,4
708,1
709,12
710,0
711,14
712,20
713,5
714,0
715,7
716,1
717,22
718,13
719,8
720,12
721,8
722,4
723,16
724,13
725,1
726,12
727,2
728,0
729,7
730,4
731,3
732,4
733,3
734,9
735,22
736,2
737,2
738,5
739,4
740,1
741,3
742,1
743,1
744,5
745,6
746,5
747,0
748,0
749,11
750,7
751,8
752,21
753,4
754,4
755,1
756,8
757,2
758,2
759,0
760,1
761,1
762,0
763,14
764,1
765,11
766,0
767,7
768,8
769,15
770,9
771,2
772,0
773,15
774,9
775,8
776,16
777,12
778,1
779,0
780,3
781,15
782,0
783,3
784,4
785,1
786,12
787,4
788,5
789,11
790,4
791,1
792,4
793,2
794,9
795,10
796,11
797,1
798,6
799,17
800,10
801,8
802,8
803,4
804,2
805,2
806,1
807,12
808,13
809,4
810,6
811,10
812,1
813,4
814,3
815,4
816,12
817,1
818,15
819,3
820,1
821,4
822,13
823,8
824,3
825,14
826,9
827,1
828,2
829,6
830,10
831,15
832,9
833,0
834,1
835,4
836,10
837,9
838,17
839,6
840,3
841,10
842,2
843,15
844,3
845,12
846,1
847,0
848,1
849,5
850,1
851,1
852,1
853,8
854,7
855,2
856,0
857,15
858,4
859,0
860,14
861,2
862,5
863,7
864,10
865,16
866,3
867,0
868,2
869,4
870,4
871,13
872,14
873,0
874,3
875,0
876,16
877,2
878,15
879,5
880,4
881,17
882,0
883,8
884,11
885,1
886,4
887,4
888,6
889,14
890,8
891,1
892,11
893,15
894,6
895,12
896,20
897,0
898,0
899,11
900,1
901,2
902,0
903,18
904,19
905,14
906,0
907,4
908,4
909,11
910,7
911,15
912,11
913,21
914,8
915,0
916,2
917,14
918,10
919,13
920,8
921,8
922,21
923,1
924,13
925,0
926,3
927,16
928,6
929,2
930,24
931,3
932,16
933,7
934,9
935,13
936,9
937,5
938,5
939,12
940,11
941,16
942,0
943,9
944,15
945,0
946,13
947,8
948,1
949,1
950,0
951,1
952,4
953,4
954,6
955,10
956,8
957,1
958,8
959,7
960,0
961,8
962,6
963,0
964,6
965,3
966,8
967,13
968,13
969,3
970,9
971,16
972,12
973,7
974,6
