,0
0,63
1,63
2,63
3,63
4,60
5,60
6,60
7,60
8,60
9,60
10,53
11,53
12,53
13,53
14,53
15,53
16,53
17,53
18,53
19,53
20,53
21,53
22,53
23,53
24,53
25,53
26,54
27,54
28,54
29,54
30,54
31,54
32,54
33,54
34,54
35,54
36,56
37,56
38,56
39,56
40,56
41,56
42,54
43,56
44,54
45,54
46,54
47,54
48,56
49,56
50,56
51,72
52,72
53,72
54,72
55,72
56,72
57,72
58,72
59,58
60,72
61,58
62,58
63,58
64,58
65,58
66,58
67,58
68,58
69,29
70,29
71,29
72,57
73,57
74,57
75,57
76,57
77,57
78,57
79,57
80,57
81,57
82,57
83,57
84,57
85,57
86,57
87,57
88,57
89,57
90,57
91,57
92,57
93,27
94,57
95,26
96,27
97,26
98,57
99,26
100,27
101,27
102,27
103,27
104,27
105,27
106,27
107,27
108,27
109,27
110,27
111,27
112,27
113,27
114,27
115,27
116,27
117,27
118,27
119,27
120,27
121,27
122,27
123,27
124,27
125,27
126,63
127,63
128,63
129,63
130,63
131,53
132,53
133,53
134,53
135,53
136,53
137,53
138,53
139,53
140,53
141,53
142,53
143,53
144,53
145,53
146,53
147,53
148,53
149,53
150,58
151,53
152,58
153,58
154,58
155,58
156,27
157,27
158,27
159,27
160,27
161,27
162,27
163,27
164,27
165,27
166,27
167,27
168,27
169,27
170,27
171,27
172,27
173,27
174,27
175,27
176,27
177,27
178,27
179,27
180,27
181,27
182,27
183,27
184,27
185,27
186,27
187,27
188,27
189,27
190,27
191,27
192,27
193,27
194,27
195,27
196,27
197,27
198,27
199,27
200,27
201,27
202,27
203,27
204,27
205,27
206,27
207,27
208,27
209,27
210,27
211,27
212,27
213,27
214,27
215,27
216,59
217,27
218,27
219,59
220,58
221,58
222,58
223,58
224,58
225,58
226,58
227,58
228,58
229,58
230,58
231,60
232,60
233,60
234,60
235,60
236,60
237,60
238,60
239,27
240,60
241,74
242,27
243,27
244,63
245,63
246,27
247,72
248,72
249,72
250,72
251,72
252,72
253,72
254,29
255,29
256,29
257,29
258,29
259,29
260,29
261,29
262,29
263,29
264,72
265,72
266,72
267,72
268,27
269,27
270,27
271,27
272,63
273,63
274,63
275,63
276,63
277,63
278,63
279,63
280,63
281,63
282,63
283,63
284,60
285,60
286,60
287,60
288,60
289,60
290,60
291,60
292,60
293,60
294,60
295,60
296,60
297,60
298,60
299,60
300,57
301,57
302,57
303,57
304,58
305,58
306,58
307,58
308,58
309,58
310,58
311,58
312,58
313,58
314,72
315,72
316,72
317,53
318,53
319,56
320,53
321,56
322,56
323,56
324,56
325,56
326,54
327,54
328,54
329,56
330,56
331,56
332,56
333,56
334,72
335,56
336,72
337,72
338,72
339,72
340,72
341,57
342,57
343,57
344,57
345,57
346,57
347,57
348,56
349,56
